ORDRE;FAMILLE;CD_NOM;LB_NOM;NOM_VERN
Accipitriformes;Accipitridae;441604;Accipiter bicolor;Epervier bicolore 
Accipitriformes;Accipitridae;645315;Accipiter cooperii;Épervier de Cooper
Accipitriformes;Accipitridae;698711;Accipiter efficax;
Accipitriformes;Accipitridae;441605;Accipiter fasciatus;
Accipitriformes;Accipitridae;432708;Accipiter fasciatus vigilax;Autour australien, Émouchet gris
Accipitriformes;Accipitridae;459459;Accipiter francesiae;Épervier de Mayotte
Accipitriformes;Accipitridae;441606;Accipiter francesii;Épervier de Mayotte
Accipitriformes;Accipitridae;418715;Accipiter francesii brutus;Épervier de Frances
Accipitriformes;Accipitridae;2891;Accipiter gentilis;Autour des palombes
Accipitriformes;Accipitridae;416684;Astur palumbarius;Autour des palombes
Accipitriformes;Accipitridae;2893;Falco gentilis;Autour des palombes
Accipitriformes;Accipitridae;846569;Falco palumbarius;Autour des palombes
Accipitriformes;Accipitridae;2894;Accipiter gentilis arrigonii;Autour des palombes (ssp. de Corse)
Accipitriformes;Accipitridae;782301;Accipiter gentilis gentilis;
Accipitriformes;Accipitridae;432607;Accipiter haplochrous;Autour à ventre blanc, Émouchet bleu, Épervier à ventre blanc, Buse blanche, Buse
Accipitriformes;Accipitridae;2895;Accipiter nisus;Épervier d'Europe
Accipitriformes;Accipitridae;2898;Accipiter nisus nisus;Épervier d'Europe
Accipitriformes;Accipitridae;2899;Accipiter nisus wolterstorffi;Épervier d'Europe
Accipitriformes;Accipitridae;2897;Falco nisus;Épervier d'Europe
Accipitriformes;Accipitridae;441607;Accipiter poliogaster;Autour à ventre gris 
Accipitriformes;Accipitridae;698712;Accipiter quartus;
Accipitriformes;Accipitridae;441608;Accipiter striatus;Épervier brun
Accipitriformes;Accipitridae;441609;Accipiter superciliosus;Epervier nain 
Accipitriformes;Accipitridae;441610;Accipiter ventralis;
Accipitriformes;Accipitridae;2869;Aegypius monachus;Vautour moine
Accipitriformes;Accipitridae;2871;Vultur monachus;Vautour moine
Accipitriformes;Accipitridae;2634;Aquila adalberti;Aigle ibérique
Accipitriformes;Accipitridae;2645;Aquila chrysaetos;Aigle royal
Accipitriformes;Accipitridae;416681;Aquila fulva;Aigle royal
Accipitriformes;Accipitridae;2647;Falco chrysaetos;Aigle royal
Accipitriformes;Accipitridae;846567;Falco fulvus;Aigle royal
Accipitriformes;Accipitridae;2657;Aquila fasciata;Aigle de Bonelli
Accipitriformes;Accipitridae;2655;Hieraaetus fasciatus;Aigle de Bonelli
Accipitriformes;Accipitridae;2643;Aquila heliaca;Aigle impérial
Accipitriformes;Accipitridae;2648;Aquila nipalensis;Aigle des steppes
Accipitriformes;Accipitridae;441695;Busarellus nigricollis;Buse à tête blanche 
Accipitriformes;Accipitridae;441702;Buteogallus aequinoctialis;Buse buson 
Accipitriformes;Accipitridae;441703;Buteogallus anthracinus;
Accipitriformes;Accipitridae;441704;Buteogallus meridionalis;Buse roussâtre 
Accipitriformes;Accipitridae;782573;Asturina schistacea;Buse ardoisée
Accipitriformes;Accipitridae;720201;Buteogallus schistaceus;Buse ardoisée
Accipitriformes;Accipitridae;442036;Leucopternis schistacea;Buse ardoisée
Accipitriformes;Accipitridae;459495;Leucopternis schistaceus;Buse ardoisée
Accipitriformes;Accipitridae;441705;Buteogallus urubitinga;Buse urubu 
Accipitriformes;Accipitridae;441697;Buteo albonotatus;Buse à queue barrée 
Accipitriformes;Accipitridae;441698;Buteo brachyurus;Buse à queue courte 
Accipitriformes;Accipitridae;2623;Buteo buteo;Buse variable
Accipitriformes;Accipitridae;2625;Falco buteo;Buse variable
Accipitriformes;Accipitridae;458792;Falco vulgaris;Buse variable
Accipitriformes;Accipitridae;779863;Buteo buteo vulpinus;
Accipitriformes;Accipitridae;441699;Buteo jamaicensis;Buse à queue rousse
Accipitriformes;Accipitridae;813847;Falco jamaicensis;Buse à queue rousse
Accipitriformes;Accipitridae;2630;Buteo lagopus;Buse pattue
Accipitriformes;Accipitridae;2632;Falco lagopus;Buse pattue
Accipitriformes;Accipitridae;441671;Asturina nitida;Buse cendrée
Accipitriformes;Accipitridae;626245;Buteo nitidus;Buse cendrée
Accipitriformes;Accipitridae;782522;Falco nitidus;Buse cendrée
Accipitriformes;Accipitridae;441701;Buteo platypterus;Petite Buse 
Accipitriformes;Accipitridae;416687;Buteo ferox;Buse féroce
Accipitriformes;Accipitridae;2627;Buteo rufinus;Buse féroce
Accipitriformes;Accipitridae;2629;Falco rufinus;Buse féroce
Accipitriformes;Accipitridae;779895;Buteo rufinus cirtensis;
Accipitriformes;Accipitridae;441766;Chondrohierax uncinatus;Milan bec-en-croc, Bec-en-croc de Temminck
Accipitriformes;Accipitridae;2876;Circaetus ferox;Circaète Jean-le-Blanc
Accipitriformes;Accipitridae;2873;Circaetus gallicus;Circaète Jean-le-Blanc
Accipitriformes;Accipitridae;2875;Falco gallicus;Circaète Jean-le-Blanc
Accipitriformes;Accipitridae;2878;Circus aeruginosus;Busard des roseaux
Accipitriformes;Accipitridae;2880;Falco aeruginosus;Busard des roseaux
Accipitriformes;Accipitridae;532382;Circus approximans approximans;Busard de Gould
Accipitriformes;Accipitridae;432707;Circus approximans;Busard de Gould
Accipitriformes;Accipitridae;441775;Circus buffoni;Busard de Buffon 
Accipitriformes;Accipitridae;2881;Circus cyaneus;Busard Saint-Martin
Accipitriformes;Accipitridae;2883;Falco cyaneus;Busard Saint-Martin
Accipitriformes;Accipitridae;836343;Circus hudsonius;Busard des marais
Accipitriformes;Accipitridae;418714;Circus macrosceles;Busard de Madagascar
Accipitriformes;Accipitridae;2886;Accipiter macrourus;Busard pâle
Accipitriformes;Accipitridae;2884;Circus macrourus;Busard pâle
Accipitriformes;Accipitridae;432596;Circus maillardi;Busard de Maillard
Accipitriformes;Accipitridae;2887;Circus pygargus;Busard cendré
Accipitriformes;Accipitridae;2889;Falco pygargus;Busard cendré
Accipitriformes;Accipitridae;2641;Aquila clanga;Aigle criard
Accipitriformes;Accipitridae;836346;Clanga clanga;Aigle criard
Accipitriformes;Accipitridae;2636;Aquila pomarina;Aigle pomarin
Accipitriformes;Accipitridae;836345;Clanga pomarina;Aigle pomarin
Accipitriformes;Accipitridae;441888;Elanoides forficatus;Milan à queue fourchue, Naucler à queue fourchue
Accipitriformes;Accipitridae;828914;Falco forficatus;Milan à queue fourchue, Naucler à queue fourchue
Accipitriformes;Accipitridae;828916;Elanoides forficatus yetapa;
Accipitriformes;Accipitridae;828920;Milvus yetapa;
Accipitriformes;Accipitridae;2836;Elanus caeruleus;Élanion blanc
Accipitriformes;Accipitridae;2838;Falco caeruleus;Élanion blanc
Accipitriformes;Accipitridae;441889;Elanus leucurus;Elanion à queue blanche 
Accipitriformes;Accipitridae;441944;Gampsonyx swainsonii;Elanion perle 
Accipitriformes;Accipitridae;441696;Buteo albicaudatus;Buse à queue blanche
Accipitriformes;Accipitridae;720247;Geranoaetus albicaudatus;Buse à queue blanche
Accipitriformes;Accipitridae;828824;Geranoaetus albicaudatus colonus;
Accipitriformes;Accipitridae;441950;Geranospiza caerulescens;Buse échasse 
Accipitriformes;Accipitridae;2852;Gypaetus barbatus;Gypaète barbu
Accipitriformes;Accipitridae;2854;Vultur barbatus;Gypaète barbu
Accipitriformes;Accipitridae;2860;Gyps fulvus;Vautour fauve
Accipitriformes;Accipitridae;2862;Vultur fulvus;Vautour fauve
Accipitriformes;Accipitridae;416705;Gyps melitensis;
Accipitriformes;Accipitridae;199338;Gyps rueppellii;Vautour de Rüppell
Accipitriformes;Accipitridae;886165;Vultur rueppellii;Vautour de Rüppell
Accipitriformes;Accipitridae;2850;Falco albicilla;Pygargue à queue blanche
Accipitriformes;Accipitridae;2848;Haliaeetus albicilla;Pygargue à queue blanche
Accipitriformes;Accipitridae;441967;Haliaeetus leucocephalus;Pygargue à tête blanche
Accipitriformes;Accipitridae;432706;Haliaeetus leucogaster;Aigle pêcheur à poitrine blanche
Accipitriformes;Accipitridae;441968;Haliastur sphenurus;Milan siffleur, Aigle siffleur
Accipitriformes;Accipitridae;441970;Harpagus bidentatus;Harpage bidenté, Milan bidenté
Accipitriformes;Accipitridae;441971;Harpagus diodon;
Accipitriformes;Accipitridae;441972;Harpia harpyja;Harpie féroce
Accipitriformes;Accipitridae;846565;Vultur harpyja;Harpie féroce
Accipitriformes;Accipitridae;441973;Harpyhaliaetus solitarius;
Accipitriformes;Accipitridae;782561;Falco hamatus;Milan à long bec
Accipitriformes;Accipitridae;459487;Helicolestes hamatus;Milan à long bec
Accipitriformes;Accipitridae;442327;Rostrhamus hamatus;Milan à long bec
Accipitriformes;Accipitridae;2654;Aquila pennata;Aigle botté
Accipitriformes;Accipitridae;2653;Falco pennatus;Aigle botté
Accipitriformes;Accipitridae;2651;Hieraaetus pennatus;Aigle botté
Accipitriformes;Accipitridae;442010;Ictinia plumbea;Milan bleuâtre 
Accipitriformes;Accipitridae;442030;Leptodon cayanensis;Milan de Cayenne, Bec-en-croc de Cayenne
Accipitriformes;Accipitridae;442035;Leucopternis melanops;Buse à face noire 
Accipitriformes;Accipitridae;2842;Falco migrans;Milan noir
Accipitriformes;Accipitridae;2843;Milvus korschun;Milan noir
Accipitriformes;Accipitridae;2840;Milvus migrans;Milan noir
Accipitriformes;Accipitridae;418713;Milvus migrans parasitus;Milan noir (à bec jaune)
Accipitriformes;Accipitridae;2846;Falco milvus;Milan royal
Accipitriformes;Accipitridae;2844;Milvus milvus;Milan royal
Accipitriformes;Accipitridae;442085;Morphnus guianensis;Harpie huppée 
Accipitriformes;Accipitridae;2856;Neophron percnopterus;Vautour percnoptère
Accipitriformes;Accipitridae;2858;Vultur perenopterus;Vautour percnoptère
Accipitriformes;Accipitridae;2834;Falco apivorus;Bondrée apivore
Accipitriformes;Accipitridae;2832;Pernis apivorus;Bondrée apivore
Accipitriformes;Accipitridae;782643;Falco albicollis;Buse blanche
Accipitriformes;Accipitridae;442034;Leucopternis albicollis;Buse blanche
Accipitriformes;Accipitridae;720289;Pseudastur albicollis;Buse blanche
Accipitriformes;Accipitridae;442328;Rostrhamus sociabilis;Milan des marais 
Accipitriformes;Accipitridae;441700;Buteo magnirostris;Buse à gros bec
Accipitriformes;Accipitridae;782644;Falco magnirostris;Buse à gros bec
Accipitriformes;Accipitridae;720294;Rupornis magnirostris;Buse à gros bec
Accipitriformes;Accipitridae;782629;Buteo melanoleucus;Aigle noir et blanc
Accipitriformes;Accipitridae;459528;Spizaetus melanoleucus;Aigle noir et blanc
Accipitriformes;Accipitridae;442363;Spizastur melanoleucus;Aigle noir et blanc
Accipitriformes;Accipitridae;442361;Spizaetus ornatus;Aigle orné 
Accipitriformes;Accipitridae;828921;Falco tyrannus;Aigle tyran 
Accipitriformes;Accipitridae;442362;Spizaetus tyrannus;Aigle tyran 
Accipitriformes;Accipitridae;828922;Spizaetus tyrannus serus;
Accipitriformes;Accipitridae;2867;Aegypius tracheliotus;Vautour oricou
Accipitriformes;Accipitridae;459634;Torgos tracheliotos;Vautour oricou
Accipitriformes;Accipitridae;2864;Torgos tracheliotus;Vautour oricou
Accipitriformes;Accipitridae;2866;Vultur tracheliotus;Vautour oricou
Accipitriformes;Cathartidae;441730;Cathartes aura;Urubu à tête rouge, Vautour aura, Vautour à tête rouge
Accipitriformes;Cathartidae;828901;Vultur aura;Urubu à tête rouge, Vautour aura, Vautour à tête rouge
Accipitriformes;Cathartidae;828902;Cathartes aura ruficollis;
Accipitriformes;Cathartidae;441731;Cathartes burrovianus;Urubu à tête jaune 
Accipitriformes;Cathartidae;829135;Cathartes burrovianus urubutinga;
Accipitriformes;Cathartidae;441732;Cathartes melambrotus;Grand Urubu 
Accipitriformes;Cathartidae;441816;Coragyps atratus;Urubu noir 
Accipitriformes;Cathartidae;828903;Vultur atratus;Urubu noir 
Accipitriformes;Cathartidae;828905;Cathartes brasiliensis;
Accipitriformes;Cathartidae;828904;Coragyps atratus brasiliensis;
Accipitriformes;Cathartidae;442337;Sarcoramphus papa;Sarcoramphe roi 
Accipitriformes;Cathartidae;846566;Vultur papa;Sarcoramphe roi 
Accipitriformes;Pandionidae;2662;Falco haliaetus;Balbuzard pêcheur
Accipitriformes;Pandionidae;2660;Pandion haliaetus;Balbuzard pêcheur
Accipitriformes;Pandionidae;625971;Pandion haliaetus carolinensis;
Accipitriformes;Pandionidae;432705;Pandion haliaetus cristatus;Balbuzard d'Australie, Buse de mer, Aigle pêcheur
Accipitriformes;Pandionidae;625972;Pandion haliaetus ridgwayi;
Anseriformes;Anatidae;2776;Aix galericulata;Canard mandarin
Anseriformes;Anatidae;846643;Anas galericulata;Canard mandarin
Anseriformes;Anatidae;2775;Aix sponsa;Canard carolin, Canard branchu
Anseriformes;Anatidae;846644;Anas sponsa;Canard carolin, Canard branchu
Anseriformes;Anatidae;459626;Alopochen aegyptiaca;Ouette d'Égypte, Oie d'Égypte
Anseriformes;Anatidae;2763;Alopochen aegyptiacus;Ouette d'Égypte, Oie d'Égypte
Anseriformes;Anatidae;2765;Anas aegyptiaca;Ouette d'Égypte, Oie d'Égypte
Anseriformes;Anatidae;459616;Alopochen kervazoi;
Anseriformes;Anatidae;645631;Mascarenachen kervazoi;
Anseriformes;Anatidae;1973;Anas acuta;Canard pilet
Anseriformes;Anatidae;550537;Anas aucklandica aucklandica;Sarcelle de Nouvelle-Zélande
Anseriformes;Anatidae;456607;Anas aucklandica;Sarcelle de Nouvelle-Zélande
